absolute_course_url,subject_name,course_url
https://www.class-central.com/course/coursera-software-design-as-an-element-of-the-software-development-lifecycle-9653,Programming ,/course/coursera-software-design-as-an-element-of-the-software-development-lifecycle-9653
https://www.class-central.com/course/coursera-api-design-and-fundamentals-of-google-cloud-s-apigee-api-platform-10482,Programming ,/course/coursera-api-design-and-fundamentals-of-google-cloud-s-apigee-api-platform-10482
https://www.class-central.com/course/coursera-data-structures-and-design-patterns-for-game-developers-10139,Programming ,/course/coursera-data-structures-and-design-patterns-for-game-developers-10139
https://www.class-central.com/course/coursera-rails-with-active-record-and-action-pack-4197,Programming ,/course/coursera-rails-with-active-record-and-action-pack-4197
https://www.class-central.com/course/coursera-reviews-metrics-for-software-improvements-4318,Programming ,/course/coursera-reviews-metrics-for-software-improvements-4318
https://www.class-central.com/course/coursera-engineering-maintainable-android-apps-5513,Programming ,/course/coursera-engineering-maintainable-android-apps-5513
https://www.class-central.com/course/coursera-tdd-desenvolvimento-de-software-guiado-por-testes-5676,Programming ,/course/coursera-tdd-desenvolvimento-de-software-guiado-por-testes-5676
https://www.class-central.com/course/coursera-parallel-programming-in-java-8909,Programming ,/course/coursera-parallel-programming-in-java-8909
https://www.class-central.com/course/coursera-software-design-as-an-abstraction-9654,Programming ,/course/coursera-software-design-as-an-abstraction-9654
https://www.class-central.com/course/coursera-more-c-programming-and-unity-10135,Programming ,/course/coursera-more-c-programming-and-unity-10135
https://www.class-central.com/course/coursera-----go---10072,Programming ,/course/coursera-----go---10072
https://www.class-central.com/course/coursera-best-practices-for-ios-user-interface-design-4251,Programming ,/course/coursera-best-practices-for-ios-user-interface-design-4251
https://www.class-central.com/course/coursera-client-needs-and-software-requirements-4302,Programming ,/course/coursera-client-needs-and-software-requirements-4302
https://www.class-central.com/course/coursera-foundations-of-objective-c-app-development-4268,Programming ,/course/coursera-foundations-of-objective-c-app-development-4268
https://www.class-central.com/course/coursera-codapps-coding-mobile-apps-for-entrepreneurs-4333,Programming ,/course/coursera-codapps-coding-mobile-apps-for-entrepreneurs-4333
https://www.class-central.com/course/coursera-ruby-on-rails-web-services-and-integration-with-mongodb-4321,Programming ,/course/coursera-ruby-on-rails-web-services-and-integration-with-mongodb-4321
https://www.class-central.com/course/coursera-managing-an-agile-team-5564,Programming ,/course/coursera-managing-an-agile-team-5564
https://www.class-central.com/course/coursera-getting-started-agile-meets-design-thinking-5502,Programming ,/course/coursera-getting-started-agile-meets-design-thinking-5502
https://www.class-central.com/course/coursera-fundamentos-de-android-5456,Programming ,/course/coursera-fundamentos-de-android-5456
https://www.class-central.com/course/coursera-arte-3d-y-animacion-en-videojuegos-4643,Programming ,/course/coursera-arte-3d-y-animacion-en-videojuegos-4643
https://www.class-central.com/course/coursera-criando-e-publicando-um-aplicativo-para-iphone-e-ipad-na-app-store-5141,Programming ,/course/coursera-criando-e-publicando-um-aplicativo-para-iphone-e-ipad-na-app-store-5141
https://www.class-central.com/course/coursera--html--css-9155,Programming ,/course/coursera--html--css-9155
https://www.class-central.com/course/coursera-javascript--2----9580,Programming ,/course/coursera-javascript--2----9580
https://www.class-central.com/course/coursera-software-design-threats-and-mitigations-9655,Programming ,/course/coursera-software-design-threats-and-mitigations-9655
https://www.class-central.com/course/coursera-building-web-applications-in-php-9566,Programming ,/course/coursera-building-web-applications-in-php-9566
https://www.class-central.com/course/coursera-vr-360-video-production-9814,Programming ,/course/coursera-vr-360-video-production-9814
https://www.class-central.com/course/coursera-introduction-to-c-programming-and-unity-10136,Programming ,/course/coursera-introduction-to-c-programming-and-unity-10136
https://www.class-central.com/course/coursera-pointers-arrays-and-recursion-10326,Programming ,/course/coursera-pointers-arrays-and-recursion-10326
https://www.class-central.com/course/coursera-app-design-and-development-for-ios-4175,Programming ,/course/coursera-app-design-and-development-for-ios-4175
https://www.class-central.com/course/coursera-toward-the-future-of-ios-development-with-swift-4327,Programming ,/course/coursera-toward-the-future-of-ios-development-with-swift-4327
https://www.class-central.com/course/coursera-game-development-for-modern-platforms-4315,Programming ,/course/coursera-game-development-for-modern-platforms-4315
https://www.class-central.com/course/coursera-web-application-development-with-javascript-and-mongodb-4288,Programming ,/course/coursera-web-application-development-with-javascript-and-mongodb-4288
https://www.class-central.com/course/coursera-relational-database-support-for-data-warehouses-4199,Programming ,/course/coursera-relational-database-support-for-data-warehouses-4199
https://www.class-central.com/course/coursera-single-page-web-applications-with-angularjs-4283,Programming ,/course/coursera-single-page-web-applications-with-angularjs-4283
https://www.class-central.com/course/coursera-software-product-management-capstone-5128,Programming ,/course/coursera-software-product-management-capstone-5128
https://www.class-central.com/course/coursera-----3----5279,Programming ,/course/coursera-----3----5279
https://www.class-central.com/course/coursera--5945,Programming ,/course/coursera--5945
https://www.class-central.com/course/coursera-orientacao-a-objetos-com-java-5673,Programming ,/course/coursera-orientacao-a-objetos-com-java-5673
https://www.class-central.com/course/edx-monetize-your-android-applications-7345,Programming ,/course/edx-monetize-your-android-applications-7345
https://www.class-central.com/course/coursera-distributed-programming-in-java-8906,Programming ,/course/coursera-distributed-programming-in-java-8906
https://www.class-central.com/course/coursera-intermediate-object-oriented-programming-for-unity-games-10137,Programming ,/course/coursera-intermediate-object-oriented-programming-for-unity-games-10137
https://www.class-central.com/course/coursera-lean-software-development-9512,Programming ,/course/coursera-lean-software-development-9512
https://www.class-central.com/course/coursera---9581,Programming ,/course/coursera---9581
https://www.class-central.com/course/coursera-introduction-to-structured-query-language-sql-9567,Programming ,/course/coursera-introduction-to-structured-query-language-sql-9567
https://www.class-central.com/course/coursera-introduction-to-virtual-reality-9358,Programming ,/course/coursera-introduction-to-virtual-reality-9358
https://www.class-central.com/course/coursera-3d-interaction-design-in-virtual-reality-9360,Programming ,/course/coursera-3d-interaction-design-in-virtual-reality-9360
https://www.class-central.com/course/coursera-java-programming-principles-of-software-design-4323,Programming ,/course/coursera-java-programming-principles-of-software-design-4323
https://www.class-central.com/course/coursera-networking-and-security-in-ios-applications-4518,Programming ,/course/coursera-networking-and-security-in-ios-applications-4518
https://www.class-central.com/course/coursera-parallel-programming-5960,Programming ,/course/coursera-parallel-programming-5960
https://www.class-central.com/course/coursera-agile-software-development-9513,Programming ,/course/coursera-agile-software-development-9513
https://www.class-central.com/course/coursera-javascript-jquery-and-json-9568,Programming ,/course/coursera-javascript-jquery-and-json-9568
